"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 14:29:00 BRT 2024","Thu Feb 22 14:29:03 BRT 2024","3200","","Access to the AGI blog","","","","Test article search by name and search return found ",""
"passed","Thu Feb 22 14:28:47 BRT 2024","Thu Feb 22 14:28:51 BRT 2024","3629","","Access to the AGI blog","","","","Test article search by name and search return not found ",""
